image,wwr,blocks_png
cmp_b0003.jpg,0.8422928326177461,F:\ucl-term1\segment-anything-main\out_all\blocks\cmp_b0003_blocks.png
cmp_b0005.jpg,0.4478243211706264,F:\ucl-term1\segment-anything-main\out_all\blocks\cmp_b0005_blocks.png
cmp_b0007.jpg,0.4427250746182987,F:\ucl-term1\segment-anything-main\out_all\blocks\cmp_b0007_blocks.png
cmp_b0008.jpg,0.443481861530399,F:\ucl-term1\segment-anything-main\out_all\blocks\cmp_b0008_blocks.png
cmp_b0015.jpg,0.416819243220294,F:\ucl-term1\segment-anything-main\out_all\blocks\cmp_b0015_blocks.png
cmp_b0022.jpg,0.4218293370800927,F:\ucl-term1\segment-anything-main\out_all\blocks\cmp_b0022_blocks.png
cmp_b0026.jpg,0.52043696994139,F:\ucl-term1\segment-anything-main\out_all\blocks\cmp_b0026_blocks.png
cmp_b0029.jpg,0.4213413306641211,F:\ucl-term1\segment-anything-main\out_all\blocks\cmp_b0029_blocks.png
cmp_b0035.jpg,0.53262972193113,F:\ucl-term1\segment-anything-main\out_all\blocks\cmp_b0035_blocks.png
cmp_b0040.jpg,0.4533912576429969,F:\ucl-term1\segment-anything-main\out_all\blocks\cmp_b0040_blocks.png
cmp_b0048.jpg,0.4991155159913122,F:\ucl-term1\segment-anything-main\out_all\blocks\cmp_b0048_blocks.png
cmp_b0057.jpg,0.4253917044227182,F:\ucl-term1\segment-anything-main\out_all\blocks\cmp_b0057_blocks.png
cmp_b0061.jpg,0.4225384136315257,F:\ucl-term1\segment-anything-main\out_all\blocks\cmp_b0061_blocks.png
cmp_b0072.jpg,0.5602952080765596,F:\ucl-term1\segment-anything-main\out_all\blocks\cmp_b0072_blocks.png
cmp_b0087.jpg,0.6916497156378429,F:\ucl-term1\segment-anything-main\out_all\blocks\cmp_b0087_blocks.png
cmp_b0095.jpg,0.5474186703869773,F:\ucl-term1\segment-anything-main\out_all\blocks\cmp_b0095_blocks.png
cmp_b0100.jpg,0.7164044312815541,F:\ucl-term1\segment-anything-main\out_all\blocks\cmp_b0100_blocks.png
cmp_b0106.jpg,0.5311917031454905,F:\ucl-term1\segment-anything-main\out_all\blocks\cmp_b0106_blocks.png
cmp_b0108.jpg,0.8145903378833399,F:\ucl-term1\segment-anything-main\out_all\blocks\cmp_b0108_blocks.png
cmp_b0110.jpg,0.4467813506777703,F:\ucl-term1\segment-anything-main\out_all\blocks\cmp_b0110_blocks.png
cmp_b0121.jpg,0.4169278996865204,F:\ucl-term1\segment-anything-main\out_all\blocks\cmp_b0121_blocks.png
cmp_b0136.jpg,0.4711527405748159,F:\ucl-term1\segment-anything-main\out_all\blocks\cmp_b0136_blocks.png
cmp_b0140.jpg,0.5853131404783454,F:\ucl-term1\segment-anything-main\out_all\blocks\cmp_b0140_blocks.png
cmp_b0142.jpg,0.4507212948121506,F:\ucl-term1\segment-anything-main\out_all\blocks\cmp_b0142_blocks.png
cmp_b0145.jpg,0.4265684936711788,F:\ucl-term1\segment-anything-main\out_all\blocks\cmp_b0145_blocks.png
cmp_b0155.jpg,0.533451919782855,F:\ucl-term1\segment-anything-main\out_all\blocks\cmp_b0155_blocks.png
cmp_b0158.jpg,0.4202044468144174,F:\ucl-term1\segment-anything-main\out_all\blocks\cmp_b0158_blocks.png
cmp_b0163.jpg,0.5934453347118118,F:\ucl-term1\segment-anything-main\out_all\blocks\cmp_b0163_blocks.png
cmp_b0184.jpg,0.5747085758067753,F:\ucl-term1\segment-anything-main\out_all\blocks\cmp_b0184_blocks.png
cmp_b0191.jpg,0.4457020115248134,F:\ucl-term1\segment-anything-main\out_all\blocks\cmp_b0191_blocks.png
cmp_b0196.jpg,0.6401530490782941,F:\ucl-term1\segment-anything-main\out_all\blocks\cmp_b0196_blocks.png
cmp_b0201.jpg,0.6194906310036223,F:\ucl-term1\segment-anything-main\out_all\blocks\cmp_b0201_blocks.png
cmp_b0203.jpg,0.4292184386974736,F:\ucl-term1\segment-anything-main\out_all\blocks\cmp_b0203_blocks.png
cmp_b0225.jpg,1.1646110237591334,F:\ucl-term1\segment-anything-main\out_all\blocks\cmp_b0225_blocks.png
cmp_b0240.jpg,1.2457531395885846,F:\ucl-term1\segment-anything-main\out_all\blocks\cmp_b0240_blocks.png
cmp_b0242.jpg,0.5117425643830328,F:\ucl-term1\segment-anything-main\out_all\blocks\cmp_b0242_blocks.png
cmp_b0243.jpg,0.4342144671337642,F:\ucl-term1\segment-anything-main\out_all\blocks\cmp_b0243_blocks.png
cmp_b0244.jpg,0.4779342972806399,F:\ucl-term1\segment-anything-main\out_all\blocks\cmp_b0244_blocks.png
cmp_b0245.jpg,0.4259285401441359,F:\ucl-term1\segment-anything-main\out_all\blocks\cmp_b0245_blocks.png
cmp_b0247.jpg,0.6185618904285302,F:\ucl-term1\segment-anything-main\out_all\blocks\cmp_b0247_blocks.png
cmp_b0248.jpg,0.8605329911588441,F:\ucl-term1\segment-anything-main\out_all\blocks\cmp_b0248_blocks.png
cmp_b0251.jpg,0.601650295513194,F:\ucl-term1\segment-anything-main\out_all\blocks\cmp_b0251_blocks.png
cmp_b0252.jpg,0.4867833898083718,F:\ucl-term1\segment-anything-main\out_all\blocks\cmp_b0252_blocks.png
cmp_b0274.jpg,0.4320166572753038,F:\ucl-term1\segment-anything-main\out_all\blocks\cmp_b0274_blocks.png
cmp_b0281.jpg,1.1331059124052187,F:\ucl-term1\segment-anything-main\out_all\blocks\cmp_b0281_blocks.png
cmp_b0285.jpg,0.420257192574781,F:\ucl-term1\segment-anything-main\out_all\blocks\cmp_b0285_blocks.png
cmp_b0286.jpg,0.5490661482184486,F:\ucl-term1\segment-anything-main\out_all\blocks\cmp_b0286_blocks.png
cmp_b0289.jpg,0.417621776504298,F:\ucl-term1\segment-anything-main\out_all\blocks\cmp_b0289_blocks.png
cmp_b0294.jpg,0.465519271858544,F:\ucl-term1\segment-anything-main\out_all\blocks\cmp_b0294_blocks.png
cmp_b0295.jpg,1.5249824397096698,F:\ucl-term1\segment-anything-main\out_all\blocks\cmp_b0295_blocks.png
cmp_b0301.jpg,0.6550104674950449,F:\ucl-term1\segment-anything-main\out_all\blocks\cmp_b0301_blocks.png
cmp_b0305.jpg,0.423286166050276,F:\ucl-term1\segment-anything-main\out_all\blocks\cmp_b0305_blocks.png
cmp_b0309.jpg,0.4432131747483989,F:\ucl-term1\segment-anything-main\out_all\blocks\cmp_b0309_blocks.png
cmp_b0313.jpg,0.425532341232734,F:\ucl-term1\segment-anything-main\out_all\blocks\cmp_b0313_blocks.png
cmp_b0316.jpg,0.4296740294194791,F:\ucl-term1\segment-anything-main\out_all\blocks\cmp_b0316_blocks.png
cmp_b0326.jpg,0.4634174554432361,F:\ucl-term1\segment-anything-main\out_all\blocks\cmp_b0326_blocks.png
cmp_b0327.jpg,0.5256550841276378,F:\ucl-term1\segment-anything-main\out_all\blocks\cmp_b0327_blocks.png
cmp_b0328.jpg,0.4426326302915048,F:\ucl-term1\segment-anything-main\out_all\blocks\cmp_b0328_blocks.png
cmp_b0339.jpg,0.5416201960503948,F:\ucl-term1\segment-anything-main\out_all\blocks\cmp_b0339_blocks.png
cmp_b0342.jpg,0.456733850129199,F:\ucl-term1\segment-anything-main\out_all\blocks\cmp_b0342_blocks.png
cmp_b0345.jpg,0.4398849832417553,F:\ucl-term1\segment-anything-main\out_all\blocks\cmp_b0345_blocks.png
cmp_b0346.jpg,0.4664795980388184,F:\ucl-term1\segment-anything-main\out_all\blocks\cmp_b0346_blocks.png
cmp_b0348.jpg,0.4248031408240201,F:\ucl-term1\segment-anything-main\out_all\blocks\cmp_b0348_blocks.png
cmp_b0353.jpg,0.5778419371814558,F:\ucl-term1\segment-anything-main\out_all\blocks\cmp_b0353_blocks.png
cmp_b0356.jpg,0.4871442303407622,F:\ucl-term1\segment-anything-main\out_all\blocks\cmp_b0356_blocks.png
cmp_b0361.jpg,0.5309800299606907,F:\ucl-term1\segment-anything-main\out_all\blocks\cmp_b0361_blocks.png
cmp_b0362.jpg,0.5212791991979349,F:\ucl-term1\segment-anything-main\out_all\blocks\cmp_b0362_blocks.png
cmp_b0366.jpg,0.801958616332333,F:\ucl-term1\segment-anything-main\out_all\blocks\cmp_b0366_blocks.png
cmp_b0371.jpg,1.278340951260352,F:\ucl-term1\segment-anything-main\out_all\blocks\cmp_b0371_blocks.png
cmp_b0374.jpg,0.4334542568869742,F:\ucl-term1\segment-anything-main\out_all\blocks\cmp_b0374_blocks.png
cmp_b0375.jpg,0.469859872232067,F:\ucl-term1\segment-anything-main\out_all\blocks\cmp_b0375_blocks.png
